Num voile;Skipper
"
FRA 59";"Thomas Ruyant
LinkedOut"
"
GBR 99";"Alex Thomson
HUGO BOSS"
"
FRA 79";"Charlie Dalin
APIVIA"
"
FRA 01";"Jean Le Cam
Yes we Cam !"
"
FRA 85";"Kevin Escoffier
PRB"
"
FRA 18";"Louis Burton
Bureau Vallée 2"
"
MON 10";"Boris Herrmann
Seaexplorer - Yacht Club De Monaco"
"
FRA 17";"Yannick Bestaven
Maître Coq IV"
"
FRA 109";"Samantha Davies
Initiatives - Coeur"
"
FRA 4";"Sébastien Simon
ARKEA PAPREC"
"
FRA 09";"Benjamin Dutreux
OMIA - Water Family"
"
FRA 1000";"Damien Seguin
Groupe APICIL"
"
ITA 34";"Giancarlo Pedote
Prysmian Group"
"
FRA 53";"Maxime Sorel
V And B Mayenne"
"
FRA 27";"Isabelle Joschke
MACSF"
"
FRA 49";"Romain Attanasio
Pure - Best Western Hotels and Resorts"
"
FRA 30";"Clarisse Cremer
Banque Populaire X"
"
SUI 7";"Alan Roura
La Fabrique"
"
FRA 92";"Stéphane Le Diraison
Time For Oceans"
"
ESP 33";"Didac Costa
One Planet One Ocean"
"
GBR 777";"Pip Hare
Medallia"
"
FRA 14";"Arnaud Boissieres
La Mie Câline - Artisans Artipôle"
"
FRA 71";"Manuel Cousin
Groupe Sétin"
"FR
FRA 02";"Armel Tripon
L'Occitane en Provence"
"
FRA 50";"Miranda Merron
Campagne de France"
"
FIN 222";"Ari Huusela
Stark"
"
FRA 72";"Alexia Barrier
TSE - 4myplanet"
"FR
FRA 69";"Sébastien Destremau
Merci"
"
FRA 83";"Clément Giraud
Compagnie du lit - Jiliti"
"
FRA 56";"Fabrice Amedeo
Newrest - Art et Fenetres"
"
JPN 11";"Kojiro Shiraishi
DMG MORI Global One"
"
FRA 8";"Jérémie Beyou
Charal"
"
FRA 6";"Nicolas Troussel
CORUM L'Épargne"